Name,Average Sentiment,Mentions
Rihanna,0.08906153846153847,663
Lorde,0.19653333333333334,6
Iman,0.19999353233830847,201
Gigi Hadid,0.05261666666666667,18
Ciara,0.2069243137254902,255
Megan Fox,0.13457,10
Camilla Cabello,0.05505,8
Justin Bieber,0.0,1
Hailey Bieber,0.5267,1
Kim Kardashian,-0.46805,2
Rosé,0.06703354430379747,316
Kristen Stewart,0.0,1
Gemma Chan,-0.1531,1
Yara Shahidi,0.0,5
Normani,0.14287894736842108,76
Olivia Rodrigo,0.025691999999999996,25
Grimes,-0.014126315789473688,19
Nicola Peltz,0.0,1
Naomi Osaka,-0.014333333333333345,3
Emma Chamberlain,-0.01848846153846154,26
Lili Reinhart,0.0,1
Anok Yai,0.0,1
Zoey Deutch,0.0,1
Saweetie,0.0,1
Evan Mock,-0.13608571428571428,7
Serena Williams,0.6369,1
Anna Wintour,0.1719175,40
Elliot Page,0.0,1
Amanda Gorman,0.0,2
Finneas,0.4417,2
Zac Posen,0.21075,2
Ben Platt,0.0,3
Irina Shayk,0.31845,4
Addison Rae,0.040927272727272736,44
Pete Davidson,-0.2677,3
Cynthia Erivo,0.3062,2
Chloe Fineman,0.0,2
Frank Ocean,0.0,5
Taylor Hill,-0.119175,4
Virgil Abloh,0.0,1
Rita Ora,-0.02551666666666667,6
Chloe Bailey,-0.08854999999999999,4
Kate Hudson,-0.296,1
Cara Delevingne,0.3612,1
Laura Harrier,0.30962500000000004,8
Maluma,0.1574392156862745,51
Ryan Reynolds,0.31845,2
Cardi B,0.177325,64
Sydney Sweeney,-0.03803333333333333,6
Lizzo,0.08235492957746478,213
Miranda Kerr,0.0,1
Jessica Chastain,0.11785000000000002,4
Gwen Stefani,0.1806,2
Camila Cabello,0.08230625,16
Lisa Love,0.42279999999999995,5
Bradley Cooper,0.0,3
Future,0.0,2
Dove Cameron,0.25190833333333335,12
SZA,0.03340526315789473,19
Awkwafina,0.061045833333333355,24
Emma Corrin,0.4215,1
Nicki Minaj,0.06251617647058824,68
Jenna Ortega,-0.00064545454545454,11
Erykah Badu,-0.0018750000000000155,8
Teyana Taylor,0.2018857142857143,63
Doja Cat,0.4588,1
Salma Hayek,0.0,2
Ice Spice,0.0,1
Dua Lipa,-0.050949999999999995,2
Priyanka Chopra,0.0,3
Simu Liu,0.3612,1
Zendaya,0.18892254641909814,754
Usher,0.2600263157894737,19
Shakira,0.0929065693430657,137
Meg Ryan,0.6369,1
Demi Lovato,-0.026909090909090907,11
Lana Del Rey,0.0772,4
Karol G,0.0,1
Jeff Goldblum,0.42460000000000003,3
Demi Moore,0.4019,1
Stray Kids,0.209,4
Colman Domingo,0.5859,1
André 3000,-0.25,1
Monica Barbaro,-0.3454,2
Stella McCartney,0.31845,2
Dapper Dan,0.05095,12
Andra Day,0.6537,2
Doechii,0.20327333333333336,45
Zuri Hall,0.8625,1
Colin Kaepernick,0.0,1
Regina King,0.0,1
Madonna,0.09645,72
Rosalía,0.03454848484848485,33
Diana Ross,0.5892333333333334,3
Anna Sawai,-0.07616,5
Helen Lasichanh,0.0,1
Kiara Advani,0.0,8
Isha Ambani,0.0731,11
Central Cee,0.0,1
